Designator,Mid X,Mid Y,Rotation,Layer
C1,-16.0,23.51,90.0,top
C2,-13.5,23.51,90.0,top
C3,-26.0,19.51,270.0,top
J1,-31.2,12.01,270.0,top
Q1,-14.4375,9.06,180.0,top
Q2,-14.4375,15.56,180.0,top
R1,31.5,0.51,180.0,top
R10,30.0,24.51,180.0,top
R11,25.5,19.51,270.0,top
R12,19.345,26.01,0.0,top
R13,5.155,26.01,180.0,top
R14,5.155,24.51,180.0,top
R15,0.5,20.01,270.0,top
R16,-5.155,26.01,0.0,top
R17,-25.5,15.76,0.0,top
R18,-26.345,9.51,0.0,top
R19,-11.0,9.01,90.0,top
R2,31.5,-0.49,180.0,top
R20,-10.5,16.01,90.0,top
R21,19.5,0.01,0.0,top
R22,19.0,25.01,0.0,top
R23,-5.155,25.01,0.0,top
R24,-5.0,0.01,0.0,top
R3,19.5,1.01,0.0,top
R4,25.5,-7.99,270.0,top
R5,4.345,0.51,180.0,top
R6,4.5,-0.49,180.0,top
R7,0.5,-5.99,0.0,top
R8,-4.845,1.01,0.0,top
R9,30.0,25.51,180.0,top
U1,25.0,0.0,0.0,top
U2,0.0,0.0,0.0,top
U3,25.0,25.0,0.0,top
U4,0.0,25.0,0.0,top
U5,-21.6375,21.96,0.0,top
