Comment,Designator,Footprint,LCSC
LED,D1,LED_0603_1608Metric,C12624
10k,"R17,R18,R19,R20",R_0603_1608Metric,C13564
~,"M11,M12,M15,M16,M2,M4,M7,M8",QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C1526573
0.1uF,C2,C_0603_1608Metric,C1590
10uF,"C1,C3",C_0603_1608Metric,C19702
~,"M13,M3,M5,M9",QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C2152977
~,"M1,M10,M14,M6",QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C2649492
AP2112K-3.3,U5,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118
Conn_02x04_Odd_Even,J1,HDR-SMD_8P-P2.54-H-M-R2-C4_2,C5149354
BSS138,"Q1,Q2",SOT-23,C75547
